date,sales,year,month,month_name,monthly_avg_sales,is_holiday_season,predicted_sales,lower_bound,upper_bound
2014-01-01,0.0,2014.0,1.0,Jan,132.83333333333334,0.0,78.63018117000806,-12.67158375097703,163.64109161429462
2014-01-02,70.0,2014.0,1.0,Jan,132.83333333333334,0.0,74.62270902570405,-19.977364777979908,163.8961215710384
2014-01-03,59.0,2014.0,1.0,Jan,132.83333333333334,0.0,71.07569925886719,-20.406178536021255,162.1042153225549
2014-01-04,93.0,2014.0,1.0,Jan,132.83333333333334,0.0,68.07939710636737,-27.020397035228907,161.5674117082887
2014-01-05,96.0,2014.0,1.0,Jan,132.83333333333334,0.0,65.71138996166495,-19.807819748408605,158.1225812043483
2014-01-06,145.0,2014.0,1.0,Jan,132.83333333333334,0.0,64.0349477712281,-25.628401335167137,152.5950783632003
2014-01-07,179.0,2014.0,1.0,Jan,132.83333333333334,0.0,63.09768428059212,-26.24588391625365,151.09263158295835
2014-01-08,321.0,2014.0,1.0,Jan,132.83333333333334,0.0,62.93056582943428,-26.730857795125523,153.48656957555963
2014-01-09,125.0,2014.0,1.0,Jan,132.83333333333334,0.0,63.5472865558773,-28.55431382018798,151.97352523197782
2014-01-10,88.0,2014.0,1.0,Jan,132.83333333333334,0.0,64.94402069925988,-21.65393544626259,158.3472453434209
2014-01-11,188.0,2014.0,1.0,Jan,132.83333333333334,0.0,67.09955437555712,-20.826205720802008,153.17061173741274
2014-01-12,121.0,2014.0,1.0,Jan,132.83333333333334,0.0,69.97579092647594,-19.262663710886798,159.8539161263515
2014-01-13,134.0,2014.0,1.0,Jan,132.83333333333334,0.0,73.51861589541181,-13.24079829621398,156.41993979553308
2014-01-14,80.0,2014.0,1.0,Jan,132.83333333333334,0.0,77.65910003591428,-7.440055952626148,165.5267007406523
2014-01-15,82.0,2014.0,1.0,Jan,132.83333333333334,0.0,82.31501167487143,-8.879039168471236,169.94136199715493
2014-01-16,94.0,2014.0,1.0,Jan,132.83333333333334,0.0,87.39260338113101,-7.10343843167736,166.21799765879967
2014-01-18,159.0,2014.0,1.0,Jan,132.83333333333334,0.0,98.392569418806,13.436211048406802,192.67397145824248
2014-01-19,199.0,2014.0,1.0,Jan,132.83333333333334,0.0,104.08894779601492,13.513850137111344,189.41832717957917
2014-01-20,104.0,2014.0,1.0,Jan,132.83333333333334,0.0,109.75980072360801,21.508825662325602,200.65751491049838
2014-01-21,70.0,2014.0,1.0,Jan,132.83333333333334,0.0,115.28713525794167,20.868832592635332,202.4659367520165
2014-01-22,127.0,2014.0,1.0,Jan,132.83333333333334,0.0,120.55538977066,29.947723361536067,211.59142594413504
2014-01-23,96.0,2014.0,1.0,Jan,132.83333333333334,0.0,125.4538234476823,31.111736853269566,207.10671562233986
2014-01-24,75.0,2014.0,1.0,Jan,132.83333333333334,0.0,129.8787882045175,40.54583317734046,223.1741041488975
2014-01-25,198.0,2014.0,1.0,Jan,132.83333333333334,0.0,133.73583651241034,36.21215739235586,213.73137702630024
2014-01-26,168.0,2014.0,1.0,Jan,132.83333333333334,0.0,136.9416226611624,44.6631887108164,229.7313198341519
2014-01-27,125.0,2014.0,1.0,Jan,132.83333333333334,0.0,139.42555985872815,53.44088071353975,233.41135072075016
2014-01-28,86.0,2014.0,1.0,Jan,132.83333333333334,0.0,141.13120116677175,48.23045272535248,227.4341291441717
2014-01-29,222.0,2014.0,1.0,Jan,132.83333333333334,0.0,142.0173184621047,53.3749856787262,234.02678344718584
2014-01-30,272.0,2014.0,1.0,Jan,132.83333333333334,0.0,142.05866025571655,47.62576565809062,234.57642898156823
2014-01-31,209.0,2014.0,1.0,Jan,132.83333333333334,0.0,141.24637614467258,45.93209426458456,231.55512918445558
2014-02-01,369.0,2014.0,2.0,Feb,77.61538461538461,0.0,139.58810276566874,48.96478233160082,236.62942069340477
2014-02-02,217.0,2014.0,2.0,Feb,77.61538461538461,0.0,137.10771326665403,47.71535655230658,232.6979346304365
2014-02-03,97.0,2014.0,2.0,Feb,77.61538461538461,0.0,133.84473891599367,41.299180072146555,227.56346091068315
2014-02-04,117.0,2014.0,2.0,Feb,77.61538461538461,0.0,129.85347896036876,43.30042216686114,218.32517130149856
2014-02-05,100.0,2014.0,2.0,Feb,77.61538461538461,0.0,125.20181993783112,35.2437879826514,212.60944530478534
2014-02-06,64.0,2014.0,2.0,Feb,77.61538461538461,0.0,119.96979217078261,29.255398483549868,213.78764099260226
2014-02-07,35.0,2014.0,2.0,Feb,77.61538461538461,0.0,114.24789584355581,29.86621491325468,202.58181249812748
